group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,MAFB,12.330887,,6.176354669072778e-35,5.394196217530811e-34,1.0,1.0
0,CYP1B1,12.103054,,1.0175383354245628e-33,8.696908849782588e-33,1.0,1.0
0,IGHG2,12.059327,,1.7319275522458163e-33,1.467735213767641e-32,1.0,1.0
0,RASSF4,11.989349,,4.04067621047543e-33,3.3672301753961917e-32,1.0,1.0
0,TNFRSF4,11.973774,,4.8759496862666025e-33,4.0464312749100436e-32,1.0,1.0
0,CIITA,11.932947,,7.970077173723375e-33,6.586840639440807e-32,1.0,1.0
0,CFLAR,11.917935,,9.544493753517025e-33,7.855550414417305e-32,1.0,1.0
0,EFHD2,11.910119,,1.048275292369574e-32,8.592420429258804e-32,1.0,1.0
0,ZAP70,11.866715,,1.7625193590479423e-32,1.4387913135085244e-31,1.0,1.0
0,RNASE6,11.858759,,1.9382690110715443e-32,1.5758284642858085e-31,1.0,1.0
0,ARHGAP9,11.811145,,3.418745701216568e-32,2.7682151426854803e-31,1.0,1.0
0,POSTN,11.781838,,4.8425255097430177e-32,3.9052625078572724e-31,1.0,1.0
0,RARRES1,11.763375,,6.027521584390385e-32,4.841382798707136e-31,1.0,1.0
0,CCL2,11.759602,,6.303106324848255e-32,5.042485059878604e-31,1.0,1.0
0,SIPA1,11.734407,,8.491909445370271e-32,6.766461709458383e-31,1.0,1.0
0,TGFB1,11.63218,,2.827824598824416e-31,2.2179016461367968e-30,1.0,1.0
0,PCOLCE,11.606211,,3.8322305673180283e-31,2.9939301307172094e-30,1.0,1.0
0,LILRB4,11.594903,,4.37362899050218e-31,3.40360232723905e-30,1.0,1.0
0,IRF8,11.548486,,7.513269423633629e-31,5.8017524506823386e-30,1.0,1.0
0,CELF2,11.5403595,,8.257914835904107e-31,6.352242181464698e-30,1.0,1.0
0,CHI3L1,11.536656,,8.621203224315931e-31,6.606285995644391e-30,1.0,1.0
0,TRAF3IP3,11.519292,,1.0547433546515318e-30,8.05147598970635e-30,1.0,1.0
0,LIPA,11.48631,,1.5457492443934382e-30,1.1754747105653521e-29,1.0,1.0
0,CCDC88B,11.461791,,2.0522521954675102e-30,1.5547365117178108e-29,1.0,1.0
0,SLAMF8,11.452933,,2.273203809288317e-30,1.7156255164440127e-29,1.0,1.0
0,GZMA,11.427937,,3.0322963593186448e-30,2.2713830406881232e-29,1.0,1.0
0,EPSTI1,11.387293,,4.8378534002974815e-30,3.610338358430956e-29,1.0,1.0
0,MZB1,11.371182,,5.819382972142356e-30,4.326678789696919e-29,1.0,1.0
0,LCP2,11.366985,,6.105990738747956e-30,4.5229561027762635e-29,1.0,1.0
0,CYTH4,11.359493,,6.652908437420228e-30,4.8918444392795796e-29,1.0,1.0
0,SOD3,11.341679,,8.156446744491697e-30,5.975418860433477e-29,1.0,1.0
0,GZMK,11.321414,,1.0280063782171275e-29,7.503696191365894e-29,1.0,1.0
0,KCNAB2,11.2995,,1.3196607207565845e-29,9.562758846062206e-29,1.0,1.0
0,CASP4,11.290248,,1.4662183513679714e-29,1.0586414089299432e-28,1.0,1.0
0,LIME1,11.266547,,1.9195109157302686e-29,1.3809431048419196e-28,1.0,1.0
0,JAK1,11.239001,,2.6233461035346605e-29,1.880534841243484e-28,1.0,1.0
0,TRIM22,11.2353115,,2.735285428326752e-29,1.9537753059476796e-28,1.0,1.0
0,DAB2,11.085835,,1.4697141004229688e-28,1.0423504258318929e-27,1.0,1.0
0,INPP5D,11.074302,,1.6717791718489353e-28,1.181469379398541e-27,1.0,1.0
0,ARID5A,11.037996,,2.5055806161093228e-28,1.764493391626284e-27,1.0,1.0
0,LY96,11.021942,,2.9952661321557086e-28,2.1019411453724275e-27,1.0,1.0
0,SLFN5,10.98365,,4.580320540007816e-28,3.1918610034897678e-27,1.0,1.0
0,TWF2,10.977581,,4.898661816465226e-28,3.401848483656407e-27,1.0,1.0
0,COL14A1,10.95871,,6.035358063163676e-28,4.1623159056301216e-27,1.0,1.0
0,QKI,10.95657,,6.179783612671109e-28,4.2472739605987006e-27,1.0,1.0
0,MFAP4,10.821951,,2.7094630626839935e-27,1.855796618276708e-26,1.0,1.0
0,PLEK,10.80732,,3.1782218658924222e-27,2.169434720745681e-26,1.0,1.0
0,CLEC2B,10.80194,,3.370080737942638e-27,2.292571930573223e-26,1.0,1.0
0,C2,10.79901,,3.479332818345463e-27,2.3588697073528562e-26,1.0,1.0
0,CCM2,10.793011,,3.7141711385167264e-27,2.5095750935923827e-26,1.0,1.0
0,TCIRG1,10.773731,,4.5805133193741614e-27,3.084520753787314e-26,1.0,1.0
0,PLAC9,10.752889,,5.743397883393207e-27,3.85462945194175e-26,1.0,1.0
0,TSPAN4,10.650703,,1.7305152583996672e-26,1.1536768389331115e-25,1.0,1.0
0,IKZF3,10.6414795,,1.9107070875166903e-26,1.269572815625708e-25,1.0,1.0
0,TMEM173,10.583684,,3.5473172288429574e-26,2.3492167078430182e-25,1.0,1.0
0,DEF6,10.522845,,6.779449140815329e-26,4.47488392133025e-25,1.0,1.0
0,GLIPR2,10.517776,,7.154242677034612e-26,4.706738603312245e-25,1.0,1.0
0,ITM2A,10.506383,,8.073079154381175e-26,5.293822396315524e-25,1.0,1.0
0,MAP4K1,10.472204,,1.159125663946895e-25,7.575984731679053e-25,1.0,1.0
0,EFEMP1,10.453052,,1.418857331910728e-25,9.21335929812161e-25,1.0,1.0
0,COL4A2,10.436405,,1.6909318967455782e-25,1.0944543021006979e-24,1.0,1.0
0,C11orf96,10.405663,,2.3362574475926286e-25,1.5072628694145992e-24,1.0,1.0
0,SEPTIN6,10.341501,,4.573183482788446e-25,2.940954008224081e-24,1.0,1.0
0,NCF4,10.337769,,4.754783193835026e-25,3.047937944766042e-24,1.0,1.0
0,PSTPIP1,10.325587,,5.3987425907471695e-25,3.449675776835252e-24,1.0,1.0
0,AIP,10.317898,,5.848960592787552e-25,3.725452606871052e-24,1.0,1.0
0,CFH,10.248821,,1.1979502745331746e-24,7.581963762868194e-24,1.0,1.0
0,SELL,10.2448225,,1.2485434974604841e-24,7.877246040760153e-24,1.0,1.0
0,MBNL1,10.208545,,1.8156760577878122e-24,1.1419346275395044e-23,1.0,1.0
0,TPSB2,10.153974,,3.1813988657871858e-24,1.9821799786836048e-23,1.0,1.0
0,CCN2,10.150186,,3.3073465475958218e-24,2.054252514034672e-23,1.0,1.0
0,CMTM3,10.141566,,3.612587383588743e-24,2.2368962127484477e-23,1.0,1.0
0,ARRB2,10.136187,,3.817090856215563e-24,2.3562289235898535e-23,1.0,1.0
0,GIMAP6,10.075405,,7.096750107828959e-24,4.340519943626274e-23,1.0,1.0
0,CD247,10.074025,,7.1970820242573e-24,4.388464648937378e-23,1.0,1.0
0,FSCN1,10.062618,,8.081986912975927e-24,4.913061953176855e-23,1.0,1.0
0,AQP1,10.055182,,8.715982776962472e-24,5.2824138042196796e-23,1.0,1.0
0,RHOF,10.048198,,9.356321661149528e-24,5.653366562628112e-23,1.0,1.0
0,FCGR3A,10.039691,,1.0199281724831525e-23,6.144145617368387e-23,1.0,1.0
0,FLI1,10.03748,,1.0430443266961058e-23,6.264530490667302e-23,1.0,1.0
0,STK17B,9.959574,,2.290420322096117e-23,1.3715091749078544e-22,1.0,1.0
0,KLF2,9.952744,,2.4532423504502286e-23,1.4646222987762558e-22,1.0,1.0
0,CD79A,9.907312,,3.8691354959800476e-23,2.3030568428452664e-22,1.0,1.0
0,PRSS23,9.883484,,4.909546626484088e-23,2.9050571754343713e-22,1.0,1.0
0,EVI2A,9.875415,,5.32122959397327e-23,3.1393684920196284e-22,1.0,1.0
0,PTPN7,9.846081,,7.126939250904582e-23,4.1923172064144594e-22,1.0,1.0
0,CALD1,9.795368,,1.1786745825879578e-22,6.913047405207963e-22,1.0,1.0
0,FCGR2A,9.792002,,1.21858581499127e-22,7.126232836206256e-22,1.0,1.0
0,EFEMP2,9.785144,,1.304097442893092e-22,7.604066722408699e-22,1.0,1.0
0,CTSK,9.7674,,1.5538940571216096e-22,9.034267773962848e-22,1.0,1.0
0,RGS1,9.7485,,1.8721349482956327e-22,1.0821589296506549e-21,1.0,1.0
0,F2R,9.718165,,2.5228490147682416e-22,1.4499132268782998e-21,1.0,1.0
0,TCF7,9.715349,,2.593584198195445e-22,1.486294669452977e-21,1.0,1.0
0,TNFAIP2,9.701323,,2.976150150837166e-22,1.7006572290498092e-21,1.0,1.0
0,TCN2,9.684747,,3.500735334177356e-22,1.9947209881352456e-21,1.0,1.0
0,HAPLN3,9.670551,,4.0220402289904496e-22,2.2787763337056374e-21,1.0,1.0
0,CD79B,9.642653,,5.280498650732852e-22,2.9833325710355095e-21,1.0,1.0
0,CLEC10A,9.641217,,5.35492465087721e-22,3.0168589582406817e-21,1.0,1.0
0,CD7,9.606207,,7.527068842297347e-22,4.2168452898024354e-21,1.0,1.0
